Question,1,2,3,4,5
010,0.08245458441186114,0,0,0,0
023,0,0,0,0,0.37443036985081424
024,0,0,0,0,0.16901510254922308
030,0.09581785162266035,0,0,0,0
038,9.154348317119037,0,0,0,0
043,48.421271245289766,0,0,0,0
045,39.69032987380881,0,0,0,0
047,44.52912946677474,0,0,0,0
051,17.447568657272967,0,0,0,0
052,15.15521116238639,0,0,0,0
054,65.01549301504778,0,0,0,0
057,61.96452481986611,0,0,0,0
060,42.78826077436365,0,0,0,0
071,37.01027911693114,0,0,0,0
073,14.846230012426007,0,0,0,0
081,3.9053838654454642,0,0,0,0
083,2.723232487919986,0,0,0,0
091,1.1517038903808015,0,0,0,0
094,2.5220065694966256,0,0,0,0
101,0.35426904962664824,0,0,0,0
103,0,0,0,0,0.29418456810844773
104,0,0,0,0,1.0026403412646605
105,8.530430607940746,0,0,0,0
106,0,0,0,0,1.6392847697971813
107,11.584867559734548,0,0,0,0
108,0,0,0,0,1.6924138864214555
110,20.35434489386921,0,0,0,0
111,0,0,0,0,2.774965064358032
112,0,0,0,0,3.2501212960696266
113,16.670929069539493,0,0,0,0
114,0,0,0,0,0.3422598601917831
115,16.95256499368247,0,0,0,0
116,9.801749761164917,0,0,0,0
117,4.46989167547114,0,0,0,0
118,2.6457864588002358,0,0,0,0
119,11.147899592735165,0,0,0,0
120,4.25854321878334,0,0,0,0
121,0.21240289744525914,0,0,0,0
122,6.055013556312628,0,0,0,0
123,0.6006193629164314,0,0,0,0
124,0.34119501344617537,0,0,0,0
125,0,0,0,0,3.126159807902192
126,0,0,0,0,4.448093400294157
127,0,0,0,0,0.9989949652769762
128,0,0,0,0,0.036663549758836615
129,0,0,0,0,0.15796831435356337
