COD_CUEN,n10,n09,n08,n07,n06,n05,n04,n03,n02,n01,n00,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Norte,-634.9511450894609,-982.906785695506,-1648.7249668467277,-1588.9606791668493,-1112.4712333428201,-836.2341725875018,-593.1155198850496,-523.2384636099877,-536.7653153705876,-536.5343260019631,-82.36400781856617,15.143800203982844,14.597462703125,6.235001109375,7.0054712187499995,7.54567475,5.4160870625,4.406462929227941,3.2719123906250003,3.363162305882353,2.302354609375,8.666782093750001
Centro,-1744.8004096179811,-968.7962310571061,-1353.459130960546,-2107.522056027663,-2517.6992093369277,-2465.0320057576073,-2321.4183370751102,-2122.3773548087997,-1029.6919172438695,-860.2667873661811,-369.1763496752456,8.944283156250002,0.8731509375000001,0.34633459375,1.2189372968749999,1.3886182968750003,0.6994804375000001,0.702831734375,0.35309184375,0.173167296875,0.34635259375,1.212297078125
Sur,-218.17236201801438,-74.0885531457108,-117.26908344381128,-172.18366059791657,-231.9537311299018,-354.23310536421536,-516.0181996362749,-471.81650442261065,-194.42544232003672,-117.47089568174025,-37.2776707299632,1115.198328623902,1791.456716602885,624.9864239892154,162.8264581446691,86.78904685484069,29.061593506985286,7.7049707968750045,1.4747890625000002,1.1288953124999999,1.3029901874999998,3.41012746875
Austral,-1361.0882505065965,-530.0912240813408,-745.3929849598962,-1120.498219717987,-1507.9833842027588,-1874.2469772428035,-1935.8875803729825,-1607.9451398390333,-1461.5741062531579,-1650.7219927010428,-565.5120392958033,4082.007514128648,7699.929329476316,4650.353110128762,2226.63597650062,1025.0113826291986,525.2728937997852,326.02877157261,244.8371260380822,143.92502393357867,81.59798136884186,116.55218443501835
