COD_CUEN,n10,n09,n08,n07,n06,n05,n04,n03,n02,n01,n00,p00,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10
Norte,-83.89403459062494,-180.36349251562518,-548.2014838343139,-1380.274636201386,-1888.2351049943675,-1211.6072618352807,-650.6747875856628,-391.1689808487123,-297.77930717175224,-236.61023654638458,-62.776795678982836,17.856857671874998,17.782627296875006,4.649821453125,7.0304199999999994,5.614651671875,4.05391503125,3.4820120625,3.86080190625,2.73178465625,2.486543765625,6.3146056093750005
Centro,-1098.474201559868,-703.5696571004338,-1087.3520034437456,-1554.6493687451248,-2222.819574021795,-2533.0611857971608,-2453.859054964732,-2059.1655683698746,-828.995307644606,-345.32070110870114,-121.65950855863964,18.569898453125006,5.422749874999999,2.441313562500001,1.2155590625000001,1.73493415625,0.349722578125,0.35309184375,0.706192359375,0.34971321875,0.519546890625,1.03910278125
Sur,-153.70469129479164,-64.96662841599267,-80.85162850833336,-121.00747703033085,-182.21930221268366,-228.04392916593125,-301.4792064881123,-267.9821613001836,-117.28164781587023,-92.80644780465691,-33.585683131127425,1951.0921119215077,2912.5186516731146,1347.6048728472435,514.997280296998,389.83154754374925,223.780051535295,57.26481170447301,4.691257796875,0.6513354375,2.437289765625,2.6073579375
Austral,-969.3371703914297,-376.62103625805736,-514.9615072929216,-715.4596829303613,-1033.1093411526056,-1366.2618784459873,-1501.5231846101722,-1373.11822419911,-1167.8150813575376,-1478.1192029818626,-647.6247374176176,6269.70906551137,10158.141272360099,6606.669028622149,3441.507368343595,1724.6160861725593,952.026802247151,589.1856825383275,427.01587124200364,314.1184028400429,174.86787764663,225.07376948933867
