Year,Month,SCA,CCA
2000,1,0,
2000,2,0.24,61.57
2000,3,0.42,21.01
2000,4,0.13,53.62
2000,5,1.26,66.97
2000,6,3.20,77.13
2000,7,4.70,56.52
2000,8,4.11,68.71
2000,9,4.16,67.31
2000,10,2.37,36.60
2000,11,1.59,45.86
2000,12,0.88,25.09
2001,1,0.52,19.90
2001,2,0.28,5.64
2001,3,0.18,18.42
2001,4,0.67,37.58
2001,5,1.31,73.63
2001,6,2.30,86.66
2001,7,5.32,82.29
2001,8,3.18,45.58
2001,9,2.55,37.79
2001,10,1.34,37.70
2001,11,0.88,46.44
2001,12,0.48,3.97
2002,1,0.25,2.72
2002,2,0.13,13.19
2002,3,0.21,40.37
2002,4,0.40,50.39
2002,5,2.27,72.28
2002,6,6.54,52.30
2002,7,5.40,48.43
2002,8,4.32,66.28
2002,9,3.54,45.69
2002,10,2.63,49.95
2002,11,1.81,30.81
2002,12,1.04,18.74
2003,1,0.63,11.45
2003,2,0.45,0.61
2003,3,0.31,5.53
2003,4,0.47,8.99
2003,5,0.92,29.19
2003,6,3.49,73.60
2003,7,5.94,34.86
2003,8,3.98,35.25
2003,9,2.85,55.06
2003,10,1.54,20.79
2003,11,0.80,34.09
2003,12,0.70,26.37
2004,1,0.38,6.38
2004,2,0.26,5.92
2004,3,0.19,17.37
2004,4,0.72,40.63
2004,5,0.51,21.09
2004,6,4.56,64.20
2004,7,5.94,62.18
2004,8,3.36,43.39
2004,9,3.60,33.68
2004,10,1.71,64.69
2004,11,1.26,26.98
2004,12,0.67,13.41
2005,1,0.46,1.77
2005,2,0.27,0.30
2005,3,0.23,5.88
2005,4,0.49,6.47
2005,5,5.31,63.68
2005,6,10.28,59.59
2005,7,5.01,42.21
2005,8,6.39,44.04
2005,9,3.37,28.13
2005,10,2.12,17.68
2005,11,1.24,41.16
2005,12,0.86,10.53
2006,1,0.50,9.77
2006,2,0.37,1.97
2006,3,0.31,9.14
2006,4,0.39,23.75
2006,5,0.84,34.04
2006,6,5.35,70.64
2006,7,8.19,65.35
2006,8,5.36,33.24
2006,9,3.55,32.86
2006,10,2.64,33.62
2006,11,1.25,11.46
2006,12,0.77,36.61
2007,1,0.43,7.59
2007,2,0.39,3.00
2007,3,0.24,8.54
2007,4,0.81,34.97
2007,5,1.16,39.53
2007,6,9.73,38.29
2007,7,13.72,55.19
2007,8,12.38,25.63
