Year,Month,SCA,CCA
2000,1,0,
2000,2,0.07,69.90
2000,3,1.22,63.32
2000,4,2.37,57.90
2000,5,11.99,52.10
2000,6,29.66,74.71
2000,7,35.69,70.60
2000,8,17.73,72.66
2000,9,11.39,80.37
2000,10,5.85,62.82
2000,11,3.32,65.98
2000,12,0.79,69.40
2001,1,1.00,67.09
2001,2,1.28,67.24
2001,3,2.35,39.11
2001,4,3.92,49.11
2001,5,9.91,64.25
2001,6,21.98,79.92
2001,7,30.23,73.81
2001,8,22.35,78.48
2001,9,12.72,63.72
2001,10,4.70,54.26
2001,11,1.22,67.44
2001,12,1.77,51.96
2002,1,1.13,57.19
2002,2,1.13,25.91
2002,3,2.37,70.19
2002,4,4.57,76.68
2002,5,17.62,79.37
2002,6,40.74,70.88
2002,7,38.02,66.23
2002,8,26.28,67.18
2002,9,12.37,74.25
2002,10,9.68,73.84
2002,11,5.49,59.91
2002,12,2.33,39.22
2003,1,2.03,50.68
2003,2,1.39,45.45
2003,3,1.86,42.57
2003,4,4.32,40.89
2003,5,12.00,47.28
2003,6,40.17,66.85
2003,7,38.78,63.21
2003,8,27.41,63.23
2003,9,14.09,72.70
2003,10,10.77,65.31
2003,11,4.74,60.14
2003,12,2.08,69.54
2004,1,1.63,42.80
2004,2,1.59,13.71
2004,3,2.06,50.39
2004,4,11.59,57.47
2004,5,10.78,38.70
2004,6,38.69,70.54
2004,7,39.61,62.45
2004,8,23.51,50.72
2004,9,22.78,71.40
2004,10,5.73,67.16
2004,11,3.11,53.52
2004,12,1.76,59.55
2005,1,1.54,48.39
2005,2,1.48,19.55
2005,3,3.42,55.80
2005,4,6.51,51.32
2005,5,33.54,73.67
2005,6,50.48,75.02
2005,7,55.71,44.31
2005,8,51.79,59.81
2005,9,36.56,59.06
2005,10,17.91,62.28
2005,11,4.74,59.78
2005,12,2.64,36.29
2006,1,1.86,43.64
2006,2,1.76,40.54
2006,3,3.33,56.64
2006,4,4.73,43.83
2006,5,11.76,39.84
2006,6,40.00,66.12
2006,7,55.05,63.71
2006,8,51.30,53.41
2006,9,34.39,65.19
2006,10,16.38,62.31
2006,11,5.16,57.40
2006,12,2.97,70.19
2007,1,1.56,42.20
2007,2,2.48,43.95
2007,3,2.20,42.79
2007,4,6.75,53.83
2007,5,23.39,46.61
2007,6,62.43,64.19
2007,7,60.51,57.39
2007,8,50.60,47.43
2007,9,32.99,53.33
2007,10,22.70,62.78
2007,11,5.43,51.31
2007,12,2.30,53.34
2008,1,1.76,34.13
2008,2,1.52,29.68
2008,3,1.55,8.93
2008,4,10.01,47.32
2008,5,27.16,56.08
2008,6,42.81,58.23
2008,7,44.17,63.69
2008,8,50.35,63.77
2008,9,32.01,46.55
2008,10,15.83,58.25
2008,11,3.66,49.72
2008,12,1.75,32.16
2009,1,1.32,36.33
2009,2,1.37,56.61
2009,3,2.29,39.74
2009,4,3.71,54.68
2009,5,29.01,57.83
2009,6,36.45,43.86
