Year,Month,SCA,CCA
2000,1,0,
2000,2,0.31,0.11
2000,3,0.00,1.26
2000,4,3.06,26.39
2000,5,8.02,32.92
2000,6,18.88,47.51
2000,7,34.98,14.96
2000,8,25.25,20.48
2000,9,28.33,29.07
2000,10,19.71,13.08
2000,11,10.60,20.22
2000,12,1.32,0.84
2001,1,0.01,0.77
2001,2,0.02,1.20
2001,3,0.78,6.20
2001,4,2.67,3.33
2001,5,11.22,37.99
2001,6,8.41,20.09
2001,7,25.98,60.76
2001,8,28.76,39.93
2001,9,24.74,26.42
2001,10,18.48,4.83
2001,11,8.78,8.01
2001,12,0.85,2.37
2002,1,0.09,0.40
2002,2,0.05,1.36
2002,3,0.52,0.11
2002,4,1.96,2.18
2002,5,6.77,47.52
2002,6,35.85,27.25
2002,7,33.98,5.56
2002,8,33.27,28.05
2002,9,26.55,15.14
2002,10,21.88,3.71
2002,11,16.95,0.28
2002,12,6.86,0.69
2003,1,0.99,0.15
2003,2,0.04,0.03
2003,3,0.07,0.45
2003,4,0.27,1.83
2003,5,10.42,8.90
2003,6,24.91,28.85
2003,7,27.12,9.72
2003,8,22.13,13.63
2003,9,18.37,7.11
2003,10,11.80,4.05
2003,11,3.76,1.06
2003,12,0.17,0.00
2004,1,0.10,0.11
2004,2,0.16,0.04
2004,3,0.25,2.31
2004,4,5.85,7.97
2004,5,9.72,1.81
2004,6,15.27,4.94
2004,7,18.79,23.49
2004,8,27.80,11.99
2004,9,13.95,2.66
2004,10,4.39,2.94
2004,11,3.95,9.74
2004,12,0.08,0.09
2005,1,0.22,0.00
2005,2,0.05,0.42
2005,3,1.70,4.10
2005,4,2.45,6.14
2005,5,21.34,11.64
2005,6,22.66,48.74
2005,7,24.70,15.96
2005,8,24.21,22.83
2005,9,26.86,10.25
2005,10,20.20,2.94
2005,11,13.97,0.19
2005,12,4.10,0.77
2006,1,0.26,0.07
2006,2,0.10,0.20
2006,3,0.05,0.03
2006,4,0.19,0.21
2006,5,2.48,23.54
2006,6,20.86,33.41
2006,7,28.35,33.55
2006,8,24.65,13.45
2006,9,20.11,10.18
2006,10,16.17,6.39
2006,11,6.85,0.08
2006,12,0.55,0.01
2007,1,0.14,0.03
2007,2,0.16,0.06
2007,3,0.12,8.89
2007,4,0.33,5.75
2007,5,4.60,14.19
2007,6,25.47,22.49
2007,7,27.83,18.47
2007,8,27.95,5.23
2007,9,20.99,1.33
2007,10,13.87,0.21
2007,11,3.64,0.02
2007,12,0.21,0.09
2008,1,0.09,0.00
2008,2,0.22,0.14
2008,3,0.22,0.16
2008,4,0.22,6.14
2008,5,7.30,23.78
2008,6,27.20,16.06
2008,7,26.25,24.06
2008,8,29.25,15.65
2008,9,24.93,16.54
2008,10,19.02,1.71
2008,11,8.26,0.19
2008,12,0.60,0.85
2009,1,0.14,0.03
2009,2,0.11,0.12
2009,3,0.16,0.09
2009,4,0.07,0.17
2009,5,1.04,10.75
2009,6,11.29,37.57
2009,7,31.97,16.30
2009,8,29.73,19.17
2009,9,23.49,17.65
2009,10,17.21,5.06
2009,11,6.65,2.06
2009,12,0.52,0.05
2010,1,0.07,0.03
2010,2,0.01,0.01
2010,3,0.03,0.03
2010,4,0.11,0.23
2010,5,7.22,15.34
2010,6,24.97,13.17
2010,7,28.00,4.23
2010,8,20.86,4.11
2010,9,15.73,6.33
2010,10,7.09,4.09
2010,11,2.49,1.47
2010,12,0.06,0.02
2011,1,0.07,0.00
2011,2,0.15,0.23
2011,3,0.10,0.03
2011,4,0.08,1.65
2011,5,0.47,0.21
2011,6,27.33,18.94
2011,7,34.34,26.20
2011,8,29.83,26.12
2011,9,22.35,0.88
2011,10,12.48,1.59
2011,11,2.40,0.01
2011,12,0.15,1.06
2012,1,0.08,0.11
2012,2,0.11,0.00
2012,3,0.04,0.00
2012,4,2.42,12.67
2012,5,12.90,14.18
2012,6,21.09,18.43
2012,7,18.22,3.83
2012,8,21.63,21.50
2012,9,14.02,9.39
2012,10,6.76,13.96
2012,11,0.65,5.69
2012,12,0.05,5.10
2013,1,0.17,0.93
2013,2,0.08,0.02
2013,3,0.04,0.25
2013,4,0.03,0.19
2013,5,11.21,15.08
2013,6,24.31,7.08
2013,7,23.86,14.87
2013,8,21.82,10.32
2013,9,15.71,14.85
2013,10,11.89,15.72
2013,11,3.00,3.05
2013,12,0.08,1.10
2014,1,0.06,0.01
2014,2,0.04,0.46
2014,3,0.12,0.26
2014,4,0.51,0.23
2014,5,3.33,7.44
2014,6,25.29,18.71
2014,7,22.71,15.57
2014,8,17.92,7.43
2014,9,14.14,16.27
2014,10,4.64,2.58
2014,11,0.12,0.07
2014,12,0.02,0.03
2015,1,0.02,0.72
2015,2,0.11,0.37
2015,3,2.58,8.08
2015,4,1.08,0.15
2015,5,0.69,1.96
2015,6,0.57,1.20
2015,7,22.83,21.85
2015,8,31.36,34.55
2015,9,23.98,15.81
2015,10,23.24,20.12
2015,11,16.07,2.18
2015,12,4.04,0.17
2016,1,0.09,13.94
2016,2,0.06,0.36
2016,3,0.03,0.55
2016,4,7.15,36.69
2016,5,14.26,45.63
2016,6,31.29,21.14
2016,7,29.55,29.69
2016,8,24.48,1.88
2016,9,20.08,0.64
2016,10,13.69,11.39
2016,11,4.81,0.20
2016,12,1.18,0.31
2017,1,0.09,0.00
2017,2,0.26,0.02
2017,3,0.18,0.09
2017,4,0.47,3.05
2017,5,16.11,35.30
2017,6,28.91,27.63
2017,7,25.68,6.95
2017,8,22.38,7.22
2017,9,17.20,16.17
2017,10,10.58,0.77
2017,11,1.79,5.50
2017,12,0.08,0.14
2018,1,0.12,1.61
2018,2,0.11,0.04
2018,3,0.14,0.02
2018,4,0.05,0.08
2018,5,0.26,19.99
2018,6,28.66,12.21
2018,7,24.89,11.31
2018,8,19.27,1.77
2018,9,12.14,11.59
2018,10,9.18,12.82
2018,11,1.69,0.08
2018,12,0.08,0.27
2019,1,0.03,0.05
2019,2,0.06,0.01
2019,3,0.02,0.15
2019,4,0.61,1.53
2019,5,0.68,6.32
2019,6,18.77,18.29
2019,7,11.64,16.95
2019,8,4.60,6.57
2019,9,4.55,9.96
2019,10,0.05,8.08
2019,11,0.03,0.01
2019,12,0.03,0.01
2020,1,0.15,0.05
2020,2,0.02,0.03
2020,3,0.00,0.48
2020,4,0.92,3.54
2020,5,0.55,4.12
2020,6,16.04,33.06
2020,7,28.42,17.75
2020,8,20.11,0.35
2020,9,13.41,1.62
2020,10,4.32,0.32
2020,11,0.20,0.33
2020,12,0.05,0.02
2021,1,0.10,0.35
2021,2,0.24,0.15
2021,3,0.27,0.23
2021,4,0.04,0.18
2021,5,3.88,3.29
2021,6,7.39,8.06
2021,7,12.12,3.58
2021,8,9.27,11.82
2021,9,13.17,1.38
2021,10,1.37,0.03
2021,11,0.04,0.11
2021,12,0.03,0.03
2022,1,0.04,0.02
2022,2,0.06,0.01
2022,3,0.04,0.03
2022,4,0.47,0.28
2022,5,0.31,9.20
2022,6,21.12,36.59
2022,7,38.51,13.07
2022,8,30.88,3.26
2022,9,22.20,4.12
2022,10,14.20,0.10
2022,11,2.39,2.73
2022,12,0.22,0.07
2023,1,0.11,0.41
2023,2,0.18,0.01
2023,3,0.04,0.00
2023,4,0.16,0.07
2023,5,1.33,15.58
2023,6,2.97,18.86
2023,7,17.57,24.36
2023,8,14.34,16.48
2023,9,15.76,29.96
