Year,Month,SCA,CCA
2000,1,0,
2000,2,3.88,61.58
2000,3,10.58,66.25
2000,4,14.77,60.76
2000,5,17.48,48.79
2000,6,48.00,55.82
2000,7,42.57,48.97
2000,8,32.97,44.66
2000,9,29.47,43.81
2000,10,17.18,63.40
2000,11,12.78,65.45
2000,12,4.09,70.46
2001,1,3.66,71.33
2001,2,4.07,70.62
2001,3,10.58,50.02
2001,4,15.66,61.28
2001,5,25.53,43.22
2001,6,49.64,58.53
2001,7,39.33,40.55
2001,8,34.57,53.45
2001,9,24.58,42.85
2001,10,16.88,54.95
2001,11,4.67,70.44
2001,12,9.12,61.70
2002,1,8.84,60.10
2002,2,9.04,50.75
2002,3,11.90,66.39
2002,4,17.86,60.63
2002,5,20.97,45.92
2002,6,43.74,39.78
2002,7,42.95,38.77
2002,8,32.91,37.88
2002,9,21.19,52.36
2002,10,22.92,56.17
2002,11,14.84,46.37
2002,12,9.86,50.39
2003,1,9.07,54.32
2003,2,11.16,55.16
2003,3,11.47,50.55
2003,4,13.19,32.31
2003,5,20.92,37.59
2003,6,44.41,35.94
2003,7,46.22,49.52
2003,8,34.45,39.54
2003,9,21.54,52.37
2003,10,20.58,55.08
2003,11,16.04,49.84
2003,12,8.93,64.54
2004,1,11.06,55.16
2004,2,8.54,30.98
2004,3,10.27,50.69
2004,4,18.93,48.41
2004,5,18.39,26.38
2004,6,47.12,51.85
2004,7,50.45,34.40
2004,8,32.06,34.34
2004,9,32.02,51.89
2004,10,14.48,44.74
2004,11,11.87,51.33
2004,12,9.63,49.56
2005,1,8.95,56.29
2005,2,7.92,36.01
2005,3,11.91,49.94
2005,4,14.25,46.16
2005,5,41.84,41.34
2005,6,56.84,37.38
2005,7,45.82,38.31
2005,8,41.57,39.47
2005,9,29.41,47.68
2005,10,18.71,45.81
2005,11,14.29,49.10
2005,12,9.83,40.44
2006,1,9.20,48.74
2006,2,8.59,39.72
2006,3,12.53,52.05
2006,4,15.20,47.01
2006,5,26.24,38.57
2006,6,41.33,40.95
2006,7,49.85,34.51
2006,8,38.88,42.46
2006,9,27.51,53.23
2006,10,19.63,52.82
2006,11,12.48,54.76
2006,12,10.41,61.30
2007,1,9.48,51.24
2007,2,9.32,47.31
2007,3,13.45,52.29
2007,4,21.19,48.11
2007,5,31.20,38.77
2007,6,53.42,40.24
2007,7,46.59,32.71
2007,8,39.37,42.63
2007,9,29.25,40.70
2007,10,25.28,52.49
2007,11,14.34,49.26
2007,12,12.40,59.20
2008,1,8.28,43.65
2008,2,9.30,52.09
2008,3,9.51,44.57
2008,4,20.81,47.02
2008,5,34.99,32.16
2008,6,45.42,38.54
2008,7,42.81,35.37
2008,8,49.63,42.27
2008,9,30.10,44.03
2008,10,21.55,57.86
2008,11,12.01,57.68
2008,12,8.47,38.19
2009,1,10.14,46.67
2009,2,9.42,57.04
2009,3,16.55,52.57
2009,4,15.66,50.24
2009,5,40.81,48.79
2009,6,44.01,33.52
2009,7,37.76,36.16
2009,8,37.10,48.14
2009,9,30.10,50.03
2009,10,25.79,50.96
2009,11,20.50,56.22
2009,12,14.89,49.70
2010,1,10.57,60.13
2010,2,9.73,38.69
2010,3,10.32,47.26
2010,4,16.19,50.64
2010,5,33.62,42.79
2010,6,40.34,43.67
2010,7,52.21,31.63
2010,8,43.25,35.88
2010,9,31.66,59.32
2010,10,26.00,53.58
2010,11,14.18,48.92
2010,12,10.96,56.76
2011,1,9.53,48.46
2011,2,8.71,38.25
2011,3,15.60,57.57
2011,4,21.51,52.84
2011,5,35.22,51.39
2011,6,41.48,39.80
2011,7,45.77,37.60
2011,8,39.83,33.52
2011,9,30.50,57.16
2011,10,20.51,50.59
2011,11,12.98,54.21
2011,12,9.17,37.71
2012,1,8.51,37.62
2012,2,9.52,38.97
2012,3,9.59,49.57
2012,4,13.56,44.25
2012,5,42.10,50.39
2012,6,47.87,34.81
2012,7,52.84,45.06
2012,8,42.48,44.64
2012,9,28.85,50.02
2012,10,25.10,55.21
2012,11,13.97,51.64
2012,12,12.33,55.34
2013,1,8.14,34.12
2013,2,8.94,34.24
2013,3,9.87,26.71
2013,4,16.32,43.23
2013,5,31.32,52.03
2013,6,47.41,49.07
2013,7,42.29,31.84
2013,8,39.00,43.09
2013,9,26.58,27.31
2013,10,19.63,51.53
2013,11,13.27,46.25
2013,12,8.87,53.90
2014,1,9.13,56.72
2014,2,9.36,44.35
2014,3,12.55,47.50
2014,4,15.19,38.12
2014,5,30.11,39.76
2014,6,44.10,41.35
2014,7,45.83,39.76
2014,8,28.39,50.96
2014,9,22.68,46.72
2014,10,18.94,43.51
2014,11,15.85,56.19
2014,12,10.36,56.93
2015,1,8.59,42.45
2015,2,8.66,36.98
2015,3,13.08,50.11
2015,4,15.17,42.43
2015,5,31.27,53.02
2015,6,47.87,43.59
2015,7,45.77,42.59
2015,8,43.17,46.27
2015,9,29.90,43.21
2015,10,19.22,40.81
2015,11,11.84,45.83
2015,12,9.86,52.12
2016,1,8.06,34.86
2016,2,8.92,45.30
2016,3,10.10,37.71
2016,4,13.87,26.56
2016,5,14.13,14.11
2016,6,27.68,37.27
2016,7,31.54,40.45
2016,8,27.35,44.09
2016,9,18.09,38.57
2016,10,15.70,40.15
2016,11,9.71,53.63
2016,12,8.74,57.87
2017,1,8.94,56.29
2017,2,10.01,53.11
2017,3,8.93,35.60
2017,4,13.25,41.84
2017,5,26.22,43.96
2017,6,57.10,36.51
2017,7,47.06,50.03
2017,8,36.76,55.01
2017,9,31.83,56.80
2017,10,18.74,55.36
2017,11,11.59,39.97
2017,12,9.49,49.11
2018,1,8.62,53.81
2018,2,9.23,51.78
2018,3,15.28,51.26
2018,4,29.22,51.17
2018,5,28.60,42.65
2018,6,42.70,32.91
2018,7,45.02,31.47
2018,8,38.95,47.72
2018,9,26.27,48.15
2018,10,19.25,37.93
2018,11,12.41,48.49
2018,12,9.74,53.49
2019,1,9.49,50.43
2019,2,10.03,43.42
2019,3,9.01,43.16
2019,4,15.26,42.52
2019,5,28.32,37.82
2019,6,44.27,35.10
2019,7,48.47,44.83
2019,8,29.53,38.06
2019,9,29.53,34.59
2019,10,17.23,42.60
2019,11,11.74,50.65
2019,12,8.48,56.90
2020,1,10.38,59.02
2020,2,8.27,40.29
2020,3,10.54,47.23
2020,4,13.93,40.19
2020,5,32.49,42.18
2020,6,48.41,31.20
2020,7,49.31,26.69
2020,8,43.37,48.43
2020,9,33.13,52.86
2020,10,22.73,49.94
2020,11,12.33,54.35
2020,12,11.18,56.16
2021,1,8.58,53.26
2021,2,7.47,26.06
2021,3,9.62,37.89
2021,4,18.94,52.97
2021,5,25.23,41.33
2021,6,41.92,37.56
2021,7,48.40,53.24
2021,8,36.42,45.60
2021,9,28.37,49.54
2021,10,15.88,50.76
2021,11,10.52,49.15
2021,12,7.64,35.37
2022,1,7.80,41.26
2022,2,7.93,41.57
2022,3,11.52,54.06
2022,4,21.39,54.96
2022,5,34.12,38.31
2022,6,46.79,30.11
2022,7,59.63,33.89
2022,8,46.61,45.46
2022,9,28.58,46.91
2022,10,19.66,56.56
2022,11,11.24,48.09
2022,12,8.77,57.78
2023,1,7.87,47.22
2023,2,10.20,57.37
2023,3,17.22,47.60
2023,4,13.83,46.14
2023,5,37.21,47.87
2023,6,51.31,39.06
2023,7,54.94,21.79
2023,8,37.27,47.18
2023,9,31.76,40.67
2023,10,24.03,48.49
2023,11,18.27,52.66
2023,12,11.02,37.95
2024,1,6.81,57.40
2024,2,8.82,51.63
2024,3,17.01,58.14
2024,4,22.25,39.00
2024,5,39.94,20.02
2024,6,40.54,40.37
2024,7,51.12,42.51
2024,8,39.53,38.09
2024,9,30.85,50.77
2024,10,19.00,57.10
2024,11,15.32,55.33
2024,12,9.16,42.21
2025,1,9.97,54.28
2025,2,10.66,48.40
2025,3,11.86,43.39
2025,4,16.51,37.41
