Year,Month,SCA,CCA
2017,11,2.46,33.75
2017,12,1.83,40.12
2018,1,2.97,41.11
2018,2,2.29,40.59
2018,3,6.75,38.47
2018,4,16.43,38.03
2018,5,25.41,30.42
2018,6,34.62,24.66
2018,7,38.81,32.29
2018,8,26.71,38.12
2018,9,17.26,35.36
2018,10,6.22,34.00
2018,11,2.44,41.47
2018,12,1.64,40.43
2019,1,2.83,40.83
2019,2,1.55,38.49
2019,3,2.72,39.63
2019,4,9.96,36.65
2019,5,24.98,30.44
2019,6,33.86,30.93
2019,7,32.11,32.39
2019,8,28.90,37.03
2019,9,15.03,41.41
2019,10,6.65,38.72
2019,11,3.41,38.80
2019,12,1.98,40.08
2020,1,1.82,41.13
2020,2,1.64,34.10
2020,3,3.45,34.53
2020,4,9.05,31.53
2020,5,18.14,33.54
2020,6,39.12,25.74
2020,7,44.62,19.82
2020,8,36.64,37.94
2020,9,14.45,41.74
2020,10,4.25,42.45
2020,11,2.14,38.83
2020,12,1.39,40.39
2021,1,1.85,40.08
2021,2,1.65,36.90
2021,3,4.23,37.85
2021,4,8.45,36.04
2021,5,15.96,34.30
2021,6,31.77,36.06
2021,7,34.88,35.51
2021,8,19.79,39.22
2021,9,13.41,39.64
2021,10,5.89,36.17
2021,11,2.16,40.38
2021,12,2.41,37.89
2022,1,1.56,34.18
2022,2,1.97,33.22
2022,3,4.89,39.62
2022,4,12.74,43.95
2022,5,23.08,34.71
2022,6,34.31,32.71
2022,7,42.49,30.03
2022,8,26.65,37.10
2022,9,16.34,37.32
2022,10,7.81,42.95
2022,11,2.39,36.65
2022,12,2.03,39.51
2023,1,1.87,40.57
2023,2,3.47,40.56
2023,3,11.25,40.31
2023,4,13.91,40.33
2023,5,25.04,37.48
2023,6,28.76,33.20
2023,7,38.05,27.06
2023,8,30.63,37.79
2023,9,21.30,37.66
2023,10,7.30,42.43
2023,11,5.09,39.40
2023,12,2.28,40.87
2024,1,1.63,39.58
2024,2,2.56,37.59
2024,3,9.73,35.25
2024,4,22.98,38.22
2024,5,32.24,27.79
2024,6,39.12,27.55
2024,7,34.45,35.79
2024,8,28.05,34.03
2024,9,19.28,42.83
2024,10,4.35,43.23
2024,11,3.44,38.48
2024,12,2.10,38.35
2025,1,2.17,39.86
2025,2,4.69,40.83
2025,3,7.10,37.01
2025,4,11.85,28.17
