Date,Snowline_elev
2000-02-01,672.0697375655194
2000-03-01,422.1252723707536
2000-04-01,381.26885629253763
2000-05-01,354.8715531930807
2000-06-01,234.46601941747574
2000-07-01,167.1875
2000-08-01,391.1461908030199
2000-09-01,370.86653386454185
2000-10-01,365.92370964210886
2000-11-01,427.9131822233034
2000-12-01,869.9396302754849
2001-01-01,835.5437852962896
2001-02-01,858.17303232516
2001-03-01,380.29525647112115
2001-04-01,403.7997091287269
2001-05-01,321.4811942613416
2001-06-01,428.53260987709075
2001-07-01,252.09003215434083
2001-08-01,217.14601769911505
2001-09-01,269.37969182141444
2001-10-01,363.9764340966997
2001-11-01,764.4103610010696
2001-12-01,420.16624552973514
2002-01-01,440.9433930606519
2002-02-01,437.6527327341702
2002-03-01,461.91209814356466
2002-04-01,395.7523957523957
2002-05-01,229.40630797773656
2002-06-01,134.52914798206277
2002-07-01,140.32921810699588
2002-08-01,202.90275761973876
2002-09-01,304.7412601281066
2002-10-01,332.8799082605085
2002-11-01,391.0680075719929
2002-12-01,440.3257228771587
2003-01-01,535.1474636973104
2003-02-01,423.5219274857632
2003-03-01,420.4081802935361
2003-04-01,415.78014184397165
2003-05-01,292.9562754792119
2003-06-01,137.56613756613757
2003-07-01,200.5791505791506
2003-08-01,170.45813586097947
2003-09-01,260.3744166118546
2003-10-01,291.2064177722925
2003-11-01,372.7577045249161
2003-12-01,440.2737777034799
2004-01-01,505.87999834780874
2004-02-01,477.0658575169829
2004-03-01,423.70004504375487
2004-04-01,367.7350051068926
2004-05-01,339.1933497536946
2004-06-01,217.59425493716338
2004-07-01,136.7816091954023
2004-08-01,185.8560794044665
2004-09-01,359.3692590324556
2004-10-01,360.6820763340031
2004-11-01,388.11510306413265
2004-12-01,439.6076897333549
2005-01-01,461.26304058273223
2005-02-01,467.5834150685179
2005-03-01,403.9965526949128
2005-04-01,364.1635675240824
2005-05-01,152.53333333333333
2005-06-01,126.35658914728683
2005-07-01,146.4406779661017
2005-08-01,166.42857142857142
2005-09-01,243.92361111111111
2005-10-01,366.4832021280153
2005-11-01,389.3477795994013
2005-12-01,440.35926602567025
2006-01-01,455.16317820148123
