Year,Month,SCA,CCA
2000,1,0,
2000,2,0.05,59.41
2000,3,2.13,64.34
2000,4,5.34,63.87
2000,5,7.14,51.83
2000,6,33.98,59.29
2000,7,28.64,55.55
2000,8,22.78,55.40
2000,9,13.40,52.20
2000,10,2.26,63.48
2000,11,1.60,64.95
2000,12,0.94,67.68
2001,1,0.63,67.87
2001,2,1.83,68.46
2001,3,5.26,55.92
2001,4,5.67,60.90
2001,5,13.99,43.61
2001,6,29.79,60.49
2001,7,33.93,46.94
2001,8,23.55,57.08
2001,9,10.41,52.52
2001,10,3.43,59.37
2001,11,3.80,66.85
2001,12,0.77,62.39
2002,1,0.30,59.78
2002,2,0.41,52.24
2002,3,2.22,64.26
2002,4,6.99,61.27
2002,5,18.00,46.37
2002,6,38.61,52.63
2002,7,32.52,42.45
2002,8,20.14,41.92
2002,9,9.04,47.07
2002,10,8.34,52.24
2002,11,3.16,49.41
2002,12,1.22,53.34
2003,1,1.12,54.74
2003,2,1.81,51.54
2003,3,1.41,47.44
2003,4,3.51,38.48
2003,5,12.38,39.90
2003,6,40.02,38.05
2003,7,36.35,51.95
2003,8,26.38,47.21
2003,9,11.70,51.52
2003,10,8.70,47.70
2003,11,3.79,47.42
2003,12,3.33,59.84
2004,1,1.84,54.52
2004,2,0.20,37.33
2004,3,2.42,46.18
2004,4,9.20,45.95
2004,5,10.82,25.58
2004,6,36.49,51.09
2004,7,42.98,41.76
2004,8,26.53,41.26
2004,9,16.86,55.26
2004,10,5.03,44.66
2004,11,2.15,47.55
2004,12,1.39,48.55
2005,1,1.80,53.82
2005,2,0.51,34.65
2005,3,5.16,49.60
2005,4,4.76,47.13
2005,5,34.63,44.93
2005,6,50.44,39.58
2005,7,35.88,43.39
2005,8,28.82,45.48
2005,9,14.68,50.00
2005,10,4.53,45.48
2005,11,2.53,46.70
2005,12,1.16,44.72
2006,1,1.17,46.00
2006,2,0.99,39.14
2006,3,6.12,51.96
2006,4,9.33,46.93
2006,5,15.28,41.59
2006,6,40.63,41.14
2006,7,42.77,38.13
2006,8,28.66,45.41
2006,9,11.92,52.77
2006,10,5.56,52.34
2006,11,2.72,51.56
2006,12,3.78,56.61
2007,1,2.19,50.91
2007,2,1.52,45.76
2007,3,3.26,48.19
2007,4,11.30,48.07
2007,5,21.67,40.45
2007,6,39.41,46.49
2007,7,39.22,44.00
2007,8,26.04,48.03
2007,9,13.55,41.83
2007,10,9.43,53.04
2007,11,4.07,48.59
2007,12,2.69,55.88
2008,1,0.33,47.04
2008,2,1.66,54.48
2008,3,1.33,47.72
2008,4,14.52,50.87
2008,5,30.39,39.73
2008,6,39.11,42.84
2008,7,35.58,39.75
2008,8,33.60,48.93
2008,9,17.53,45.39
2008,10,8.10,56.40
2008,11,3.51,53.22
2008,12,0.44,41.16
2009,1,1.52,47.30
2009,2,2.33,55.06
2009,3,7.02,49.37
2009,4,8.01,49.36
2009,5,32.17,50.53
2009,6,36.64,40.44
2009,7,33.97,44.37
2009,8,24.84,50.96
2009,9,17.05,53.86
2009,10,9.50,52.58
2009,11,5.65,55.48
2009,12,3.32,50.31
2010,1,2.69,53.73
2010,2,1.58,45.07
2010,3,1.82,43.64
