Year,Month,SCA,CCA
2000,1,0,
2000,2,14.17,81.27
2000,3,19.77,75.79
2000,4,21.64,65.19
2000,5,23.99,58.11
2000,6,39.41,74.00
2000,7,50.76,83.88
2000,8,23.42,60.93
2000,9,17.72,68.66
2000,10,15.89,58.53
2000,11,15.86,68.32
2000,12,13.15,80.50
2001,1,11.77,71.85
2001,2,15.16,67.86
2001,3,19.55,41.38
2001,4,22.13,41.00
2001,5,23.65,65.83
2001,6,32.65,91.52
2001,7,35.61,86.46
2001,8,26.47,62.57
2001,9,20.28,48.09
2001,10,17.93,48.71
2001,11,13.31,73.16
2001,12,17.64,57.77
2002,1,19.14,61.32
2002,2,19.87,47.27
2002,3,18.42,64.32
2002,4,21.21,58.37
2002,5,35.54,73.85
2002,6,53.69,82.94
2002,7,62.21,63.15
2002,8,37.16,85.35
2002,9,25.66,74.84
2002,10,18.67,41.12
2002,11,17.59,51.44
2002,12,18.62,49.56
2003,1,19.97,50.37
2003,2,20.22,41.61
2003,3,22.06,38.88
2003,4,23.50,27.63
2003,5,26.82,49.21
2003,6,51.65,47.43
2003,7,38.13,42.96
2003,8,28.02,27.84
2003,9,22.39,37.59
2003,10,19.43,41.31
2003,11,19.83,46.26
2003,12,18.01,69.63
2004,1,19.59,51.42
2004,2,21.22,45.80
2004,3,21.86,25.30
2004,4,23.97,29.07
2004,5,27.32,25.97
2004,6,34.77,46.83
2004,7,43.70,65.25
2004,8,33.24,48.45
2004,9,23.14,36.66
2004,10,19.77,43.77
2004,11,19.13,39.99
2004,12,19.37,48.49
2005,1,19.81,42.65
2005,2,20.93,21.55
2005,3,21.67,43.73
2005,4,24.79,43.67
2005,5,32.86,30.27
2005,6,61.19,66.42
2005,7,48.14,55.23
2005,8,33.00,50.49
2005,9,26.46,35.39
2005,10,23.78,37.99
2005,11,22.72,31.39
2005,12,19.38,56.02
2006,1,19.73,43.73
2006,2,21.07,30.27
2006,3,22.05,36.92
2006,4,24.86,31.57
2006,5,26.36,32.11
2006,6,57.77,49.59
2006,7,42.12,52.39
2006,8,32.88,35.33
2006,9,26.39,50.74
2006,10,23.79,40.89
2006,11,22.76,43.67
2006,12,15.61,57.05
2007,1,19.12,47.36
2007,2,21.27,40.39
2007,3,21.86,40.60
2007,4,25.90,42.01
2007,5,31.07,32.87
2007,6,55.14,44.80
2007,7,62.36,53.63
2007,8,37.57,46.16
2007,9,25.23,44.96
2007,10,23.54,46.14
2007,11,22.56,42.88
2007,12,18.49,63.89
2008,1,20.25,28.52
2008,2,21.06,44.41
2008,3,21.58,36.57
2008,4,26.43,42.59
2008,5,32.03,28.37
2008,6,40.08,33.49
