Year,Month,SCA,CCA
2000,1,0,
2000,2,1.37,73.19
2000,3,1.18,21.46
2000,4,0.52,49.40
2000,5,3.41,60.25
2000,6,11.85,79.92
2000,7,14.98,61.00
2000,8,12.88,75.25
2000,9,10.78,67.89
2000,10,6.91,40.49
2000,11,5.10,48.54
2000,12,3.33,30.59
2001,1,2.06,28.90
2001,2,1.20,9.21
2001,3,0.82,17.71
2001,4,1.73,36.55
2001,5,2.67,71.42
2001,6,1.85,96.78
2001,7,13.43,86.01
2001,8,10.59,50.23
2001,9,8.46,42.36
2001,10,4.85,38.62
2001,11,3.51,46.35
2001,12,2.11,6.30
2002,1,1.09,6.05
2002,2,0.61,13.17
2002,3,0.94,52.44
2002,4,1.51,51.46
2002,5,7.67,69.98
2002,6,20.62,57.14
2002,7,18.55,53.80
2002,8,13.28,72.59
2002,9,10.67,56.47
2002,10,8.55,56.88
2002,11,6.37,43.10
2002,12,4.24,24.07
2003,1,2.38,16.42
2003,2,1.59,3.36
2003,3,1.13,6.59
2003,4,1.62,17.24
2003,5,2.92,37.04
2003,6,8.45,75.00
2003,7,16.72,45.18
2003,8,12.71,41.97
2003,9,7.95,59.05
2003,10,5.27,26.12
2003,11,3.32,44.02
2003,12,2.57,32.83
2004,1,1.47,10.01
2004,2,0.98,9.85
2004,3,0.83,22.17
2004,4,2.22,44.36
2004,5,1.71,13.30
2004,6,14.17,71.46
2004,7,21.06,72.55
2004,8,10.69,44.73
2004,9,11.76,51.21
2004,10,5.74,69.61
2004,11,4.04,30.37
2004,12,2.45,19.41
2005,1,1.54,4.60
2005,2,0.93,0.52
2005,3,0.86,9.71
2005,4,1.61,10.37
2005,5,11.07,77.16
2005,6,31.64,73.20
2005,7,17.56,43.53
2005,8,23.31,57.44
2005,9,13.00,30.98
2005,10,8.71,24.82
2005,11,4.89,48.47
2005,12,3.62,9.90
2006,1,2.09,12.87
2006,2,1.41,4.50
2006,3,1.22,10.39
2006,4,1.44,30.05
2006,5,2.61,34.48
2006,6,11.49,76.00
