Date,Snowline_elev
2000-02-01,775.7783627171821
2000-03-01,600.9791782445631
2000-04-01,506.7046993790726
2000-05-01,374.07480370911605
2000-06-01,266.9358435468559
2000-07-01,277.3901558749333
2000-08-01,382.89930010346296
2000-09-01,404.72398080922693
2000-10-01,569.139231225563
2000-11-01,587.7941577214734
2000-12-01,705.7102851351016
2001-01-01,639.2794757620736
2001-02-01,692.2732708026946
2001-03-01,589.9507441757155
2001-04-01,510.40016492934774
2001-05-01,344.73465906366033
2001-06-01,467.79910824365174
2001-07-01,288.8085423970201
2001-08-01,357.74221438077
2001-09-01,451.1018256304345
2001-10-01,572.9473949006947
2001-11-01,550.6387485884853
2001-12-01,750.0273039475438
2002-01-01,724.2612791389734
2002-02-01,740.9900309384667
2002-03-01,584.7794155882818
2002-04-01,459.0057434255748
2002-05-01,306.7625045664782
2002-06-01,255.44241360527747
2002-07-01,229.20621744204232
2002-08-01,299.06665740989837
2002-09-01,423.49799580701466
2002-10-01,452.6938556181813
2002-11-01,499.5943492779715
2002-12-01,677.1462039860802
2003-01-01,681.6745437836419
2003-02-01,586.101137283963
2003-03-01,566.6394653761689
2003-04-01,420.5201008601465
2003-05-01,342.2563942628816
2003-06-01,160.632183908046
2003-07-01,180.09723852178286
2003-08-01,302.43242452876734
2003-09-01,382.93540501074665
2003-10-01,435.96340578862396
2003-11-01,551.2862746987739
2003-12-01,537.5600003010705
2004-01-01,681.4159569313472
2004-02-01,727.7764693070758
2004-03-01,574.6347940665534
2004-04-01,371.9538452074417
2004-05-01,341.9796642022512
2004-06-01,207.92393026941363
2004-07-01,164.02321083172146
2004-08-01,293.82313520420564
2004-09-01,348.2549532851986
2004-10-01,521.0699160177984
2004-11-01,564.0491395298784
2004-12-01,759.6994232397221
2005-01-01,655.2104484837745
2005-02-01,731.9177950020903
2005-03-01,470.18293516169473
2005-04-01,423.91493150928596
2005-05-01,175.17294388931592
2005-06-01,163.20806275316656
2005-07-01,181.3047711781889
2005-08-01,224.47117156353644
2005-09-01,324.95777829848754
2005-10-01,407.40020039904704
2005-11-01,564.8056468580625
2005-12-01,660.0821609746503
2006-01-01,635.3364762063178
2006-02-01,738.8397103222368
2006-03-01,492.9996341466819
2006-04-01,399.70486516609907
2006-05-01,294.7848332092501
2006-06-01,180.35714285714286
2006-07-01,139.32584269662922
2006-08-01,230.23133543638275
2006-09-01,312.46039907586317
2006-10-01,404.01340745172934
2006-11-01,504.22479425115733
2006-12-01,511.2366835865236
2007-01-01,653.808599779074
2007-02-01,619.5054429815774
2007-03-01,562.56721587105
2007-04-01,375.67780544754055
2007-05-01,215.31311154598825
2007-06-01,433.9229217748952
2007-07-01,162.65912305516267
2007-08-01,250.27278441231928
2007-09-01,283.4178108472885
2007-10-01,362.1863428043504
2007-11-01,509.2383760229825
2007-12-01,643.7240710137075
2008-01-01,717.9875054025381
2008-02-01,665.7997582772402
2008-03-01,720.2997511823864
2008-04-01,298.48232944411086
2008-05-01,247.57463026603835
2008-06-01,159.37090432503277
2008-07-01,249.5159059474412
2008-08-01,274.839972016663
2008-09-01,295.6736127574809
2008-10-01,400.98853515811413
2008-11-01,577.731706950403
2008-12-01,729.3472634427764
2009-01-01,596.1313342114418
2009-02-01,644.2784014856438
2009-03-01,500.24775771635547
2009-04-01,436.17456130277816
2009-05-01,273.7410071942446
2009-06-01,160.3399433427762
2009-07-01,193.30045850181313
2009-08-01,275.04280750474805
2009-09-01,293.2380873721128
2009-10-01,391.13893045517733
2009-11-01,497.3591394549382
2009-12-01,618.7656321463575
2010-01-01,606.2798274842801
2010-02-01,581.7958633683552
2010-03-01,568.3223222503739
2010-04-01,409.00983506984994
2010-05-01,222.26277372262774
2010-06-01,223.38501291989664
2010-07-01,175.96491228070175
2010-08-01,243.84661937861
2010-09-01,359.47832203183157
2010-10-01,381.6244331597684
2010-11-01,566.4600805294682
2010-12-01,615.2132766291062
2011-01-01,631.8578844272129
2011-02-01,713.0506480161756
2011-03-01,505.9903766269731
2011-04-01,371.4508420573509
2011-05-01,264.2723290017783
2011-06-01,217.27019498607243
2011-07-01,181.78191489361703
2011-08-01,247.47954463436238
2011-09-01,294.7432744588034
2011-10-01,402.04818575829205
2011-11-01,577.1378961522803
2011-12-01,749.7563857724605
2012-01-01,805.7416447880257
2012-02-01,580.6441297651459
2012-03-01,569.389616071903
2012-04-01,456.55269039126216
2012-05-01,227.7169217001947
2012-06-01,210.4018912529551
2012-07-01,150.0
2012-08-01,231.96247251016425
2012-09-01,336.29844379492846
2012-10-01,419.8553347314448
2012-11-01,607.7721672592818
2012-12-01,554.199769059594
2013-01-01,747.980543555903
2013-02-01,638.804886072349
2013-03-01,609.2475863184978
2013-04-01,422.1393122025017
2013-05-01,205.05050505050505
2013-06-01,279.121154086749
2013-07-01,198.76627827278958
2013-08-01,322.67185859789487
2013-09-01,307.6740865019772
2013-10-01,396.37973894761495
2013-11-01,537.2098528038829
2013-12-01,658.0377406919291
2014-01-01,556.0169941152405
2014-02-01,653.2554446679306
2014-03-01,490.9332689743503
2014-04-01,401.93012511197895
2014-05-01,245.17117117117118
2014-06-01,170.38719950289334
2014-07-01,209.65207631874298
2014-08-01,308.7291752719262
2014-09-01,329.89488440136677
2014-10-01,420.1564694331556
2014-11-01,450.1077189306354
2014-12-01,583.0657095579996
2015-01-01,755.8975628803533
2015-02-01,734.0344390974136
2015-03-01,555.6011212328231
2015-04-01,411.5977262603957
2015-05-01,301.56985871271587
2015-06-01,173.04189435336977
2015-07-01,153.11973018549747
2015-08-01,240.78716726426333
