Year,Month,SCA,CCA
2000,1,0,
2000,2,5.40,74.94
2000,3,13.61,69.95
2000,4,17.50,70.41
2000,5,30.69,68.29
2000,6,52.30,67.71
2000,7,60.76,70.19
2000,8,35.34,66.19
2000,9,32.29,61.98
2000,10,19.36,68.00
2000,11,10.82,72.22
2000,12,5.66,71.86
2001,1,6.07,72.87
2001,2,8.40,69.21
2001,3,21.22,58.88
2001,4,20.54,57.11
2001,5,32.24,58.82
2001,6,45.60,72.86
2001,7,59.10,64.91
2001,8,45.05,66.21
2001,9,27.45,56.68
2001,10,19.35,53.73
2001,11,7.33,69.21
2001,12,12.65,57.14
2002,1,12.41,60.27
2002,2,13.04,53.00
2002,3,13.34,69.29
2002,4,20.58,64.14
2002,5,53.41,63.95
2002,6,65.15,63.11
2002,7,53.45,43.74
2002,8,40.38,52.94
2002,9,29.46,56.09
2002,10,22.80,58.22
2002,11,14.38,61.40
2002,12,11.28,55.46
2003,1,11.19,57.29
2003,2,14.68,49.41
2003,3,17.84,50.93
2003,4,23.30,40.51
2003,5,31.51,53.07
2003,6,62.38,44.49
2003,7,52.00,49.97
2003,8,41.88,45.17
2003,9,28.66,46.25
2003,10,23.94,55.19
2003,11,18.45,49.79
2003,12,13.03,65.66
2004,1,12.58,51.11
2004,2,13.53,48.63
2004,3,16.43,42.10
2004,4,24.01,48.99
2004,5,33.42,34.37
2004,6,50.91,59.33
2004,7,56.75,40.95
2004,8,42.95,48.89
2004,9,30.16,52.56
2004,10,20.22,47.49
2004,11,16.01,47.08
2004,12,13.55,52.00
2005,1,11.40,47.01
2005,2,13.90,31.33
2005,3,16.99,51.67
2005,4,24.89,51.00
2005,5,47.72,47.99
2005,6,74.15,53.69
2005,7,64.64,48.58
2005,8,49.82,50.76
2005,9,33.10,52.56
2005,10,23.71,48.55
2005,11,16.44,49.97
2005,12,13.18,54.46
2006,1,13.17,48.90
2006,2,14.25,39.75
2006,3,18.88,57.51
2006,4,28.73,48.09
2006,5,33.46,40.41
2006,6,54.14,43.05
2006,7,58.81,46.53
2006,8,44.68,42.95
2006,9,34.59,54.32
2006,10,23.19,57.31
2006,11,16.24,54.88
2006,12,12.10,58.78
2007,1,12.56,51.64
2007,2,15.10,48.01
2007,3,18.55,49.80
2007,4,30.28,53.83
2007,5,44.17,45.66
2007,6,50.70,52.82
2007,7,59.16,45.24
2007,8,48.03,49.54
2007,9,30.83,45.91
2007,10,22.66,56.75
2007,11,17.10,54.03
2007,12,10.22,58.29
2008,1,12.66,40.93
2008,2,11.76,47.45
2008,3,15.26,43.85
2008,4,34.79,61.29
2008,5,49.43,46.80
2008,6,58.46,41.03
2008,7,62.88,42.20
2008,8,58.56,47.55
2008,9,36.82,46.25
2008,10,24.96,57.21
2008,11,16.30,55.60
2008,12,13.12,51.15
2009,1,13.60,53.41
2009,2,10.93,50.99
2009,3,18.61,46.62
2009,4,22.51,52.78
2009,5,49.24,55.84
2009,6,57.03,41.74
2009,7,55.83,40.68
2009,8,46.00,48.75
2009,9,34.58,53.13
2009,10,26.62,55.87
2009,11,18.26,62.96
2009,12,12.70,56.45
2010,1,12.95,57.25
2010,2,16.40,46.88
2010,3,17.29,42.81
2010,4,25.47,50.54
2010,5,40.66,48.43
2010,6,52.41,52.92
2010,7,57.96,40.68
2010,8,47.71,53.64
2010,9,33.25,54.07
2010,10,23.23,57.99
2010,11,16.08,51.38
2010,12,11.35,56.99
2011,1,13.15,48.58
2011,2,14.43,42.67
2011,3,17.51,48.95
2011,4,30.66,49.99
2011,5,44.69,47.40
2011,6,55.64,45.43
2011,7,66.58,60.24
2011,8,59.54,43.01
2011,9,38.36,57.22
2011,10,25.43,52.66
2011,11,16.89,57.70
2011,12,13.14,40.68
2012,1,12.01,45.95
2012,2,14.05,36.75
2012,3,15.95,44.91
2012,4,29.85,44.95
2012,5,49.97,49.85
2012,6,65.87,48.45
2012,7,68.58,48.94
2012,8,50.01,47.30
2012,9,33.24,55.77
2012,10,27.89,53.38
2012,11,18.35,52.79
2012,12,14.21,55.43
2013,1,12.86,45.33
2013,2,14.11,36.77
2013,3,15.89,34.98
2013,4,22.89,45.89
2013,5,45.67,53.73
2013,6,61.21,50.69
2013,7,52.31,34.29
2013,8,49.45,55.98
2013,9,40.93,43.83
2013,10,21.72,55.22
2013,11,20.51,50.61
2013,12,13.77,59.49
2014,1,11.24,56.04
2014,2,14.44,52.77
2014,3,18.76,49.70
2014,4,23.31,41.66
