Year,Month,SCA,CCA
2000,1,0,
2000,2,0.52,1.04
2000,3,0.41,1.65
2000,4,0.44,15.40
2000,5,6.23,7.63
2000,6,12.29,6.63
2000,7,4.12,3.45
2000,8,1.33,6.17
2000,9,0.72,0.97
2000,10,0.50,2.78
2000,11,0.44,0.02
2000,12,0.32,0.54
2001,1,1.20,5.28
2001,2,1.13,5.29
2001,3,2.13,1.24
2001,4,0.95,0.12
2001,5,3.30,3.40
2001,6,0.84,0.08
2001,7,0.85,0.03
2001,8,1.18,0.21
2001,9,1.41,0.73
2001,10,0.71,0.06
2001,11,0.35,0.00
2001,12,0.63,3.20
2002,1,0.25,0.00
2002,2,0.55,3.95
2002,3,0.77,6.03
2002,4,1.39,0.44
2002,5,10.09,4.11
2002,6,6.25,3.51
2002,7,29.05,12.41
2002,8,7.49,0.02
2002,9,3.76,0.00
2002,10,1.35,2.96
2002,11,0.63,0.11
2002,12,0.48,2.05
2003,1,0.73,5.03
2003,2,0.93,0.02
2003,3,0.66,0.01
2003,4,0.47,0.00
2003,5,8.83,1.42
2003,6,4.53,0.01
2003,7,4.64,2.37
2003,8,4.76,0.29
2003,9,0.78,0.03
2003,10,0.58,0.00
2003,11,0.55,0.00
2003,12,0.41,2.85
2004,1,0.58,1.94
2004,2,0.77,1.09
2004,3,0.54,0.01
2004,4,0.58,0.01
2004,5,0.54,0.01
2004,6,0.54,0.18
2004,7,7.82,2.38
2004,8,17.32,12.73
2004,9,2.07,0.00
2004,10,0.89,0.01
2004,11,0.57,0.00
2004,12,0.53,0.03
2005,1,0.91,0.83
2005,2,0.93,13.42
2005,3,0.71,0.01
2005,4,5.83,1.25
2005,5,8.27,0.15
2005,6,2.01,0.00
2005,7,0.86,0.00
2005,8,0.55,0.00
2005,9,22.71,5.05
2005,10,10.50,0.02
2005,11,1.35,1.29
2005,12,0.60,0.39
2006,1,1.62,0.72
2006,2,2.38,0.09
2006,3,0.86,0.02
2006,4,0.57,0.04
2006,5,3.13,0.43
2006,6,6.15,0.89
2006,7,1.09,0.05
2006,8,2.40,0.48
2006,9,3.68,0.09
2006,10,0.65,0.00
2006,11,0.56,0.01
2006,12,0.48,0.32
2007,1,0.72,1.45
2007,2,0.87,0.10
2007,3,0.49,0.27
2007,4,0.46,0.10
2007,5,0.94,0.36
2007,6,5.57,10.66
2007,7,11.11,3.65
2007,8,5.00,0.58
2007,9,1.39,0.33
2007,10,0.55,0.00
2007,11,0.48,0.73
2007,12,0.45,0.01
2008,1,1.13,3.76
2008,2,1.08,0.02
2008,3,0.55,0.00
2008,4,0.89,0.00
2008,5,0.51,0.00
2008,6,6.89,2.72
2008,7,3.06,0.00
2008,8,0.65,0.00
2008,9,0.67,0.02
2008,10,0.60,0.00
2008,11,0.53,0.00
2008,12,0.43,0.28
2009,1,0.73,0.01
2009,2,0.58,0.22
2009,3,2.00,0.38
2009,4,0.91,0.00
2009,5,0.50,0.17
2009,6,0.51,0.00
2009,7,9.78,7.75
2009,8,2.43,0.00
2009,9,0.63,0.42
2009,10,0.51,0.09
2009,11,0.54,0.01
2009,12,0.43,0.43
2010,1,0.58,0.29
