Year,Month,SCA,CCA
2000,1,0,
2000,2,0.01,0.04
2000,3,0.00,1.35
2000,4,1.53,28.87
2000,5,5.05,28.28
2000,6,5.69,47.16
2000,7,31.51,18.47
2000,8,21.86,15.64
2000,9,23.14,25.74
2000,10,13.81,7.64
2000,11,5.26,17.89
2000,12,0.11,1.11
2001,1,0.00,0.46
2001,2,0.01,2.17
2001,3,0.62,7.62
2001,4,0.99,2.70
2001,5,5.23,22.35
2001,6,5.32,14.58
2001,7,14.83,53.46
2001,8,24.41,36.80
2001,9,21.11,20.41
2001,10,13.62,5.23
2001,11,3.77,6.64
2001,12,0.06,4.25
2002,1,0.00,0.29
2002,2,0.00,3.06
2002,3,0.03,0.00
2002,4,1.36,1.51
2002,5,5.78,46.80
2002,6,30.48,28.79
2002,7,28.60,11.26
2002,8,29.39,22.11
2002,9,23.36,13.48
2002,10,18.75,2.95
2002,11,13.24,0.02
2002,12,3.28,0.04
2003,1,0.19,0.06
2003,2,0.03,0.01
2003,3,0.05,0.15
2003,4,0.02,0.66
2003,5,9.17,11.04
2003,6,20.41,25.66
2003,7,23.48,14.58
2003,8,17.07,7.97
2003,9,13.29,2.36
2003,10,6.02,0.53
2003,11,0.43,0.25
2003,12,0.04,0.00
2004,1,0.09,0.02
2004,2,0.12,0.01
2004,3,0.18,3.67
2004,4,4.08,10.30
2004,5,4.74,2.59
2004,6,5.69,4.13
2004,7,7.27,20.37
2004,8,19.76,12.43
2004,9,9.81,2.90
2004,10,2.27,1.50
2004,11,1.38,4.76
2004,12,0.04,0.00
2005,1,0.07,0.00
2005,2,0.02,0.62
2005,3,0.39,0.53
2005,4,1.79,7.41
2005,5,19.71,13.54
2005,6,20.75,45.08
2005,7,20.43,14.00
2005,8,19.31,18.72
2005,9,23.10,9.22
2005,10,15.66,0.25
2005,11,8.05,0.07
2005,12,0.66,0.01
2006,1,0.09,0.01
2006,2,0.06,0.71
2006,3,0.02,0.33
2006,4,0.04,0.01
2006,5,1.21,8.71
2006,6,13.84,17.45
2006,7,20.25,33.92
2006,8,20.13,11.35
2006,9,14.61,1.63
2006,10,6.94,2.70
2006,11,0.77,0.00
2006,12,0.03,0.01
2007,1,0.06,0.11
2007,2,0.06,0.02
2007,3,0.02,5.08
2007,4,0.02,3.99
2007,5,4.01,12.50
2007,6,19.97,24.49
2007,7,23.66,13.26
2007,8,23.65,4.85
2007,9,17.42,0.57
2007,10,10.34,0.07
2007,11,1.46,0.07
2007,12,0.05,0.01
2008,1,0.04,0.00
2008,2,0.08,0.00
