Year,Month,SCA,CCA
2000,1,0,
2000,2,2.26,79.17
2000,3,10.17,70.50
2000,4,12.37,68.35
2000,5,19.50,50.91
2000,6,32.11,65.03
2000,7,36.69,62.59
2000,8,24.15,57.11
2000,9,22.01,70.02
2000,10,15.26,67.33
2000,11,10.71,78.42
2000,12,3.64,79.75
2001,1,7.83,80.70
2001,2,6.25,82.37
2001,3,11.73,51.80
2001,4,13.75,64.56
2001,5,22.57,61.55
2001,6,27.93,78.30
2001,7,32.41,52.52
2001,8,27.21,67.85
2001,9,19.62,62.49
2001,10,13.41,61.58
2001,11,8.74,80.80
2001,12,10.12,69.69
2002,1,9.26,64.27
2002,2,9.37,49.78
2002,3,11.32,75.22
2002,4,16.12,73.34
2002,5,25.86,68.93
2002,6,42.42,56.76
2002,7,36.18,59.50
2002,8,28.16,51.79
2002,9,19.84,69.11
2002,10,18.35,74.38
2002,11,13.98,62.96
2002,12,10.19,59.40
2003,1,10.27,65.45
2003,2,11.33,61.15
2003,3,11.22,58.54
2003,4,14.96,43.59
2003,5,20.56,49.29
2003,6,44.74,49.79
2003,7,42.67,55.79
2003,8,31.10,55.71
2003,9,21.72,68.06
2003,10,18.68,68.68
2003,11,14.23,64.64
2003,12,10.37,76.05
2004,1,10.12,53.23
2004,2,9.06,26.94
2004,3,11.50,60.57
2004,4,19.55,60.08
2004,5,21.07,43.44
2004,6,46.36,65.33
2004,7,45.09,52.77
2004,8,29.92,46.33
2004,9,29.66,72.33
2004,10,15.33,54.90
2004,11,12.30,65.01
2004,12,9.57,63.93
2005,1,10.00,66.64
2005,2,9.29,29.94
2005,3,13.19,61.42
2005,4,15.57,55.30
2005,5,42.20,56.48
2005,6,59.73,57.16
2005,7,44.36,44.13
2005,8,37.97,52.68
2005,9,27.87,58.02
2005,10,18.96,59.27
2005,11,13.89,63.02
2005,12,10.74,44.82
2006,1,9.81,60.35
2006,2,9.81,44.87
2006,3,13.12,64.92
2006,4,16.01,53.62
2006,5,23.84,51.00
2006,6,43.41,55.63
2006,7,51.13,53.31
2006,8,37.04,52.17
2006,9,29.05,68.33
2006,10,18.49,62.40
2006,11,14.24,69.52
2006,12,10.92,76.62
2007,1,10.28,57.25
2007,2,10.35,55.83
2007,3,11.09,59.82
2007,4,18.67,56.33
2007,5,34.57,47.78
2007,6,54.94,60.09
2007,7,48.67,51.21
2007,8,39.73,55.93
2007,9,31.64,58.03
2007,10,23.26,64.80
2007,11,14.92,54.26
2007,12,10.27,66.26
2008,1,9.12,45.66
2008,2,9.60,51.58
2008,3,10.65,30.89
2008,4,23.06,55.65
2008,5,34.38,50.76
2008,6,45.10,50.36
2008,7,41.12,53.72
2008,8,41.22,58.14
2008,9,29.57,54.01
2008,10,20.66,68.76
2008,11,11.98,65.17
2008,12,8.88,41.21
2009,1,9.64,63.09
2009,2,9.69,69.38
2009,3,13.04,56.11
2009,4,15.57,60.10
2009,5,37.14,61.61
2009,6,42.71,42.15
2009,7,38.98,43.96
2009,8,36.53,64.32
2009,9,27.55,59.95
2009,10,21.23,71.01
2009,11,16.72,72.41
2009,12,12.56,61.71
2010,1,11.06,69.37
2010,2,10.89,49.75
2010,3,11.33,59.67
2010,4,16.30,59.46
2010,5,33.37,49.88
2010,6,38.14,58.65
2010,7,51.07,44.09
2010,8,38.30,49.44
2010,9,25.34,70.20
2010,10,20.42,66.65
2010,11,13.30,60.46
2010,12,10.98,63.83
2011,1,9.87,54.39
2011,2,9.30,45.84
2011,3,12.68,66.04
2011,4,19.36,64.09
2011,5,31.84,63.06
2011,6,42.47,55.61
2011,7,47.48,55.66
2011,8,38.75,51.64
2011,9,30.67,72.16
2011,10,18.83,53.47
2011,11,13.41,60.11
2011,12,10.06,40.45
2012,1,9.14,39.27
2012,2,10.14,68.44
2012,3,11.51,60.25
2012,4,14.71,48.95
2012,5,37.08,65.86
2012,6,47.46,46.74
2012,7,51.45,56.03
2012,8,36.41,54.66
2012,9,26.59,57.21
2012,10,20.15,64.94
2012,11,13.12,51.68
2012,12,10.59,75.11
2013,1,8.87,33.87
2013,2,10.06,41.00
2013,3,10.73,37.24
2013,4,15.19,53.91
2013,5,32.39,55.06
2013,6,44.26,67.41
2013,7,42.56,47.08
2013,8,38.69,63.75
2013,9,28.33,41.06
2013,10,19.09,55.97
2013,11,12.84,65.14
2013,12,9.80,63.03
2014,1,11.11,63.64
2014,2,9.51,49.33
2014,3,13.24,57.62
2014,4,15.81,52.49
2014,5,31.56,47.45
2014,6,46.88,52.28
2014,7,44.23,55.16
2014,8,29.54,66.79
2014,9,24.02,62.28
2014,10,18.38,58.99
2014,11,15.55,72.66
2014,12,9.87,67.76
2015,1,9.35,55.48
2015,2,9.52,41.20
2015,3,11.83,54.15
2015,4,16.43,50.03
2015,5,31.10,64.01
2015,6,47.62,57.64
2015,7,50.69,61.63
2015,8,41.13,62.33
2015,9,29.65,54.06
2015,10,19.30,53.44
2015,11,12.72,60.06
2015,12,10.03,66.54
2016,1,8.98,45.30
2016,2,9.64,53.11
2016,3,10.57,39.21
2016,4,15.36,37.40
2016,5,17.71,26.23
2016,6,29.12,38.29
2016,7,33.95,48.38
2016,8,29.97,68.31
2016,9,19.80,43.30
2016,10,14.63,49.55
2016,11,10.10,60.46
2016,12,9.00,73.85
2017,1,9.51,65.58
2017,2,9.68,58.24
2017,3,10.66,38.13
2017,4,12.46,46.43
2017,5,31.90,57.72
2017,6,52.35,47.47
2017,7,47.57,64.16
2017,8,34.08,68.44
2017,9,27.33,72.34
2017,10,18.36,72.65
2017,11,13.42,50.13
2017,12,10.16,62.42
2018,1,9.23,58.14
2018,2,9.95,53.57
2018,3,14.58,66.07
2018,4,27.61,65.99
2018,5,30.56,56.45
2018,6,45.89,43.70
2018,7,43.73,43.78
2018,8,34.10,58.16
2018,9,24.11,67.96
2018,10,18.48,46.04
2018,11,12.90,58.22
2018,12,9.60,57.68
2019,1,10.55,59.33
2019,2,9.50,44.00
2019,3,10.58,45.26
2019,4,15.42,58.78
2019,5,32.72,57.02
2019,6,45.83,47.61
2019,7,44.84,59.63
2019,8,31.93,52.26
2019,9,27.88,49.55
2019,10,18.40,55.77
2019,11,12.09,60.33
2019,12,9.91,66.34
2020,1,9.21,62.45
2020,2,9.58,45.51
2020,3,10.89,55.15
2020,4,16.36,54.12
2020,5,34.09,50.97
2020,6,50.53,47.07
2020,7,47.43,47.42
2020,8,38.17,64.26
2020,9,27.53,59.93
2020,10,20.48,57.17
2020,11,12.00,55.85
2020,12,11.25,61.51
2021,1,9.80,60.82
2021,2,8.70,25.70
2021,3,10.18,39.38
2021,4,18.00,65.39
2021,5,24.77,47.72
2021,6,45.98,53.51
2021,7,42.44,69.50
2021,8,33.82,61.94
2021,9,24.66,62.87
2021,10,15.08,67.33
2021,11,11.13,57.93
2021,12,8.69,37.21
2022,1,8.70,45.17
2022,2,9.00,39.53
2022,3,13.13,65.73
2022,4,20.19,64.65
2022,5,35.69,47.32
2022,6,48.81,46.51
2022,7,56.72,45.57
2022,8,43.20,58.38
2022,9,23.76,57.94
2022,10,19.50,66.05
2022,11,11.85,53.19
2022,12,9.92,68.03
2023,1,9.71,57.68
2023,2,10.18,58.57
2023,3,13.92,56.24
2023,4,14.47,55.69
2023,5,35.98,60.45
2023,6,52.89,48.98
2023,7,50.64,45.16
2023,8,36.68,61.73
2023,9,33.14,51.30
2023,10,22.58,57.08
2023,11,17.90,67.42
2023,12,12.01,45.33
2024,1,8.95,72.55
2024,2,9.59,61.83
2024,3,11.61,79.44
2024,4,18.47,62.38
2024,5,39.45,43.75
2024,6,43.83,69.18
2024,7,51.87,63.12
