Elevation,SCA,CCA
0.0,0.06,0.06
100.0,0.06,0.06
200.0,0.04,0.04
300.0,0.05,0.05
400.0,0.07,0.07
500.0,0.10,0.10
600.0,0.21,0.21
700.0,0.42,0.42
800.0,0.70,0.70
900.0,1.21,1.21
1000.0,1.67,1.67
1100.0,2.64,2.64
1200.0,3.65,3.65
1300.0,5.26,5.26
1400.0,8.27,8.27
1500.0,11.50,11.50
1600.0,15.67,15.67
1700.0,20.43,20.43
1800.0,25.60,25.60
1900.0,30.85,30.85
2000.0,35.33,35.33
2100.0,39.58,39.58
2200.0,43.89,43.89
2300.0,47.53,47.53
2400.0,50.77,50.77
2500.0,54.40,54.40
2600.0,57.24,57.24
2700.0,59.59,59.59
2800.0,61.09,61.09
2900.0,62.94,62.94
3000.0,65.26,65.26
3100.0,68.39,68.39
3200.0,72.87,72.87
3300.0,78.14,78.14
3400.0,81.30,81.30
3500.0,84.48,84.48
3600.0,87.75,87.75
3700.0,86.41,86.41
3800.0,82.91,82.91
3900.0,89.58,89.58
4000.0,91.97,91.97
