Elevation,SCA,CCA
3100.0,1.57,1.57
3200.0,1.54,1.54
3300.0,1.68,1.68
3400.0,2.97,2.97
3500.0,2.98,2.98
3600.0,4.05,4.05
3700.0,7.76,7.76
3800.0,6.20,6.20
3900.0,5.91,5.91
4000.0,6.60,6.60
4100.0,10.75,10.75
4200.0,10.56,10.56
4300.0,11.06,11.06
4400.0,12.30,12.30
4500.0,13.40,13.40
4600.0,14.24,14.24
4700.0,15.39,15.39
4800.0,17.25,17.25
4900.0,19.04,19.04
5000.0,20.50,20.50
5100.0,20.98,20.98
5200.0,21.63,21.63
5300.0,23.81,23.81
5400.0,25.61,25.61
5500.0,28.11,28.11
5600.0,29.97,29.97
5700.0,32.54,32.54
5800.0,33.33,33.33
5900.0,35.73,35.73
6000.0,39.22,39.22
6100.0,44.50,44.50
6200.0,53.05,53.05
6300.0,66.34,66.34
6400.0,62.83,62.83
6500.0,57.09,57.09
6600.0,60.56,60.56
6700.0,60.08,60.08
6800.0,56.04,56.04
