Elevation,SCA,CCA
0.0,0.00,0.00
100.0,0.00,0.00
200.0,0.00,0.00
300.0,0.00,0.00
400.0,0.00,0.00
500.0,0.00,0.00
600.0,0.00,0.00
700.0,0.00,0.00
800.0,0.00,0.00
900.0,0.00,0.00
1000.0,0.02,0.02
1100.0,0.04,0.04
1200.0,0.04,0.04
1300.0,0.06,0.06
1400.0,0.11,0.11
1500.0,0.16,0.16
1600.0,0.21,0.21
1700.0,0.31,0.31
1800.0,0.39,0.39
1900.0,0.49,0.49
2000.0,0.65,0.65
2100.0,0.85,0.85
2200.0,1.09,1.09
2300.0,1.38,1.38
2400.0,1.70,1.70
2500.0,2.15,2.15
2600.0,2.73,2.73
2700.0,3.52,3.52
2800.0,4.41,4.41
2900.0,5.45,5.45
3000.0,6.49,6.49
3100.0,8.03,8.03
3200.0,9.34,9.34
3300.0,11.15,11.15
3400.0,13.32,13.32
3500.0,15.58,15.58
3600.0,17.79,17.79
3700.0,20.64,20.64
3800.0,23.49,23.49
3900.0,25.42,25.42
4000.0,26.32,26.32
4100.0,26.50,26.50
4200.0,27.00,27.00
4300.0,28.08,28.08
4400.0,28.89,28.89
4500.0,29.59,29.59
4600.0,29.56,29.56
4700.0,29.09,29.09
4800.0,29.59,29.59
4900.0,29.43,29.43
5000.0,29.75,29.75
5100.0,31.04,31.04
5200.0,33.22,33.22
5300.0,34.95,34.95
5400.0,34.21,34.21
5500.0,32.79,32.79
5600.0,34.14,34.14
5700.0,36.08,36.08
5800.0,40.13,40.13
5900.0,41.97,41.97
6000.0,39.20,39.20
6100.0,45.63,45.63
