Elevation,SCA,CCA
0.0,0.46,0.46
100.0,0.46,0.46
200.0,0.70,0.70
300.0,0.65,0.65
400.0,1.07,1.07
500.0,1.67,1.67
600.0,2.31,2.31
700.0,2.96,2.96
800.0,3.84,3.84
900.0,5.18,5.18
1000.0,6.75,6.75
1100.0,8.45,8.45
1200.0,11.30,11.30
1300.0,16.48,16.48
1400.0,23.49,23.49
1500.0,31.39,31.39
1600.0,39.94,39.94
1700.0,46.67,46.67
1800.0,55.80,55.80
1900.0,66.12,66.12
2000.0,77.20,77.20
2100.0,80.73,80.73
2200.0,80.59,80.59
2300.0,83.95,83.95
2400.0,84.23,84.23
2500.0,85.24,85.24
2600.0,85.79,85.79
2700.0,86.06,86.06
2800.0,86.37,86.37
2900.0,86.71,86.71
3000.0,85.51,85.51
3100.0,86.11,86.11
3200.0,84.62,84.62
3300.0,86.80,86.80
3400.0,86.61,86.61
3500.0,91.19,91.19
3600.0,91.42,91.42
3700.0,91.53,91.53
