Elevation,SCA,CCA
0.0,0.14,0.14
100.0,0.13,0.13
200.0,0.13,0.13
300.0,0.13,0.13
400.0,0.15,0.15
500.0,0.23,0.23
600.0,0.38,0.38
700.0,0.69,0.69
800.0,1.02,1.02
900.0,1.58,1.58
1000.0,2.67,2.67
1100.0,4.81,4.81
1200.0,8.28,8.28
1300.0,12.34,12.34
1400.0,16.43,16.43
1500.0,21.10,21.10
1600.0,26.30,26.30
1700.0,30.86,30.86
1800.0,35.32,35.32
1900.0,39.91,39.91
2000.0,44.18,44.18
2100.0,48.52,48.52
2200.0,52.85,52.85
2300.0,57.72,57.72
2400.0,62.50,62.50
2500.0,67.42,67.42
2600.0,72.23,72.23
2700.0,74.71,74.71
2800.0,77.09,77.09
2900.0,78.87,78.87
3000.0,80.51,80.51
3100.0,79.49,79.49
