Elevation,SCA,CCA
400,11.008174356044023,11.008174356044023
500,14.136337941503504,14.136337941503504
600,24.676285796716904,24.676285796716904
700,28.87729782452866,28.87729782452866
800,34.13645444020342,34.13645444020342
900,39.092907792738984,39.092907792738984
1000,43.32191866114777,43.32191866114777
1100,45.8739267589826,45.8739267589826
1200,49.442741066490875,49.442741066490875
1300,53.034455548477375,53.034455548477375
1400,56.89322758299665,56.89322758299665
1500,61.490834452377186,61.490834452377186
1600,65.6885270058151,65.6885270058151
1700,69.48589669900379,69.48589669900379
1800,74.15983397872186,74.15983397872186
1900,77.9672128505882,77.9672128505882
2000,83.67888973771325,83.67888973771325
2100,81.93645676624402,81.93645676624402
