Elevation,Area
100,2622.70
200,1843.06
300,1197.58
400,832.23
500,555.97
600,359.98
700,308.89
800,279.92
900,287.64
1000,281.20
1100,244.50
1200,214.44
1300,215.09
1400,222.39
1500,217.66
1600,212.30
1700,208.22
1800,185.04
1900,174.09
2000,163.57
2100,174.52
2200,175.16
2300,179.67
2400,187.61
2500,183.96
2600,178.81
2700,177.74
2800,199.20
2900,177.95
3000,181.17
3100,179.45
3200,167.86
3300,163.14
3400,139.96
3500,113.77
3600,98.31
3700,72.55
3800,65.04
3900,54.95
4000,36.71
4100,28.98
4200,17.60
4300,13.74
4400,7.73
4500,4.94
4600,3.01
4700,1.07
4800,1.29
4900,1.29
5000,0.21
