Elevation,Area
100,88.23
200,55.81
300,118.71
400,147.26
500,153.70
600,201.56
700,227.11
800,226.68
900,253.30
1000,272.40
1100,305.89
1200,341.95
1300,367.50
1400,310.18
1500,219.38
1600,186.97
1700,176.88
1800,166.57
1900,137.38
2000,151.98
2100,126.22
2200,127.08
2300,126.00
2400,139.53
2500,147.04
2600,136.31
2700,157.77
2800,158.42
2900,170.65
3000,195.34
3100,202.21
3200,219.81
3300,217.66
3400,218.52
3500,217.66
3600,231.83
3700,248.79
3800,275.41
3900,327.14
4000,326.28
4100,308.68
4200,275.19
4300,242.35
4400,200.28
4500,158.20
4600,110.33
4700,89.30
4800,77.71
4900,52.81
5000,36.06
5100,29.62
5200,18.68
5300,11.81
5400,7.51
5500,5.37
5600,4.72
5700,3.01
5800,2.58
5900,2.79
6000,2.15
6100,0.43
