Elevation,Area
100,120.42
200,990.22
300,690.77
400,767.19
500,1200.16
600,1166.67
700,869.15
800,627.66
900,427.39
1000,344.74
1100,292.15
1200,268.97
1300,263.60
1400,238.70
1500,223.89
1600,220.45
1700,210.80
1800,212.51
1900,215.52
2000,204.57
2100,204.36
2200,208.22
2300,208.86
2400,225.82
2500,228.61
2600,232.90
2700,234.19
2800,232.26
2900,235.48
3000,256.30
3100,261.67
3200,279.27
3300,274.76
3400,300.52
3500,285.28
3600,264.67
3700,238.49
3800,215.73
3900,201.14
4000,174.30
4100,139.53
4200,114.20
4300,112.91
4400,80.93
4500,75.13
4600,65.90
4700,53.02
4800,44.43
4900,36.71
5000,27.26
5100,22.75
5200,20.61
5300,17.39
5400,14.17
5500,10.73
5600,10.52
5700,6.65
5800,3.65
5900,3.01
6000,1.07
6100,0.43
6200,0.43
6300,0.21
6400,0.43
6500,0.21
6600,0.21
