Elevation,SCA,CCA
0.0,0.01,0.01
100.0,0.00,0.00
200.0,0.00,0.00
300.0,0.00,0.00
400.0,0.00,0.00
500.0,0.01,0.01
600.0,0.02,0.02
700.0,0.02,0.02
800.0,0.02,0.02
900.0,0.03,0.03
1000.0,0.05,0.05
1100.0,0.08,0.08
1200.0,0.13,0.13
1300.0,0.21,0.21
1400.0,0.34,0.34
1500.0,0.49,0.49
1600.0,0.74,0.74
1700.0,1.22,1.22
1800.0,1.90,1.90
1900.0,2.84,2.84
2000.0,3.88,3.88
2100.0,5.40,5.40
2200.0,6.80,6.80
2300.0,8.33,8.33
2400.0,10.44,10.44
2500.0,13.33,13.33
2600.0,15.96,15.96
2700.0,19.20,19.20
2800.0,22.24,22.24
2900.0,24.69,24.69
3000.0,27.00,27.00
3100.0,28.64,28.64
3200.0,31.75,31.75
3300.0,37.91,37.91
3400.0,38.57,38.57
3500.0,38.16,38.16
3600.0,37.27,37.27
