Elevation,Area
100,89.51
200,2222.58
300,1873.54
400,1322.72
500,894.05
600,551.46
700,393.04
800,315.76
900,277.98
1000,287.00
1100,277.98
1200,249.43
1300,231.19
1400,225.39
1500,217.23
1600,215.52
1700,220.67
1800,210.79
1900,181.82
2000,183.10
2100,176.02
2200,166.36
2300,178.60
2400,170.87
2500,189.33
2600,183.53
2700,181.82
2800,174.95
2900,190.62
3000,184.61
3100,190.62
3200,186.97
3300,169.80
3400,164.00
3500,148.11
3600,121.28
3700,108.40
3800,86.94
3900,66.54
4000,58.82
4100,47.22
4200,33.70
4300,22.97
4400,14.60
4500,8.59
4600,6.01
4700,3.22
4800,2.58
4900,2.15
5000,0.86
5100,0.86
