Elevation,SCA,CCA
3400.0,0.75,0.75
3500.0,5.30,5.30
3600.0,2.18,2.18
3700.0,2.68,2.68
3800.0,3.09,3.09
3900.0,3.62,3.62
4000.0,3.77,3.77
4100.0,2.06,2.06
4200.0,1.69,1.69
4300.0,3.19,3.19
4400.0,2.04,2.04
4500.0,2.51,2.51
4600.0,3.21,3.21
4700.0,4.42,4.42
4800.0,6.17,6.17
4900.0,6.67,6.67
5000.0,6.73,6.73
5100.0,7.30,7.30
5200.0,7.96,7.96
5300.0,9.48,9.48
5400.0,12.72,12.72
5500.0,17.25,17.25
5600.0,25.05,25.05
5700.0,29.51,29.51
5800.0,33.71,33.71
5900.0,46.60,46.60
6000.0,47.54,47.54
6100.0,46.91,46.91
6200.0,44.13,44.13
