Elevation,Area
100,505.52
200,267.04
300,249.43
400,287.43
500,246.00
600,268.32
700,378.23
800,314.48
900,220.24
1000,206.72
1100,188.68
1200,198.34
1300,173.87
1400,146.40
1500,144.04
1600,138.24
1700,121.28
1800,123.86
1900,118.71
2000,120.42
2100,110.76
2200,110.33
2300,102.61
2400,104.11
2500,113.13
2600,104.75
2700,122.14
2800,131.59
2900,136.09
3000,142.32
3100,150.48
3200,173.44
3300,181.39
3400,191.91
3500,197.27
3600,176.45
3700,160.35
3800,129.65
3900,100.46
4000,68.48
4100,57.96
4200,43.79
4300,29.84
4400,16.74
4500,12.02
4600,10.09
4700,5.80
4800,2.36
4900,2.58
5000,2.36
5100,1.50
5200,1.07
5300,1.29
5400,1.50
5500,0.86
5600,0.00
5700,0.86
