Elevation,Area
100,1266.27
200,712.88
300,778.14
400,1247.60
500,1174.61
600,862.28
700,597.61
800,423.95
900,335.94
1000,291.08
1100,268.54
1200,247.07
1300,234.19
1400,223.67
1500,220.45
1600,203.93
1700,216.81
1800,212.94
1900,205.21
2000,195.12
2100,211.22
2200,212.30
2300,231.62
2400,227.97
2500,239.77
2600,234.62
2700,235.27
2800,241.71
2900,258.66
3000,266.39
3100,280.99
3200,286.14
3300,294.51
3400,268.75
3500,266.60
3600,227.32
3700,208.00
3800,189.11
3900,151.33
4000,131.80
4100,116.13
4200,95.31
4300,81.14
4400,64.61
4500,61.82
4600,51.09
4700,45.72
4800,30.05
4900,25.97
5000,18.46
5100,21.47
5200,16.10
5300,11.59
5400,10.73
5500,9.45
5600,6.01
5700,3.01
5800,2.36
5900,0.64
6000,0.43
6100,0.21
6200,0.21
6300,0.00
6400,0.64
