Elevation,Area
100,249.65
200,144.89
300,164.43
400,177.09
500,192.98
600,224.10
700,241.70
800,266.39
900,283.35
1000,316.62
1100,344.31
1200,352.68
1300,251.58
1400,189.54
1500,178.17
1600,185.68
1700,147.26
1800,143.18
1900,137.38
2000,136.09
2100,127.08
2200,136.74
2300,130.30
2400,147.90
2500,142.53
2600,158.85
2700,167.22
2800,180.31
2900,192.98
3000,214.66
3100,224.96
3200,211.87
3300,222.39
3400,220.67
3500,242.35
3600,260.60
3700,284.42
3800,328.64
3900,329.50
4000,300.09
4100,255.44
4200,223.03
4300,179.03
4400,138.45
4500,95.95
4600,82.21
4700,66.33
4800,43.58
4900,35.85
5000,24.26
5100,14.38
5200,9.87
5300,7.30
5400,4.51
5500,3.43
5600,3.22
5700,2.79
5800,2.36
5900,1.07
6000,0.64
6100,0.21
