Elevation,SCA,CCA
0.0,0.00,0.00
100.0,0.00,0.00
200.0,0.00,0.00
300.0,0.00,0.00
400.0,0.00,0.00
500.0,0.00,0.00
600.0,0.00,0.00
700.0,0.00,0.00
800.0,0.00,0.00
900.0,0.00,0.00
1000.0,0.00,0.00
1100.0,0.01,0.01
1200.0,0.01,0.01
1300.0,0.02,0.02
1400.0,0.04,0.04
1500.0,0.06,0.06
1600.0,0.07,0.07
1700.0,0.09,0.09
1800.0,0.11,0.11
1900.0,0.14,0.14
2000.0,0.20,0.20
2100.0,0.27,0.27
2200.0,0.33,0.33
2300.0,0.44,0.44
2400.0,0.61,0.61
2500.0,0.83,0.83
2600.0,1.11,1.11
2700.0,1.44,1.44
2800.0,1.91,1.91
2900.0,2.54,2.54
3000.0,3.28,3.28
3100.0,4.18,4.18
3200.0,5.30,5.30
3300.0,6.43,6.43
3400.0,7.53,7.53
3500.0,9.08,9.08
3600.0,10.94,10.94
3700.0,13.14,13.14
3800.0,15.48,15.48
3900.0,18.06,18.06
4000.0,20.60,20.60
4100.0,22.47,22.47
4200.0,23.80,23.80
4300.0,25.30,25.30
4400.0,26.30,26.30
4500.0,25.96,25.96
4600.0,25.48,25.48
4700.0,25.22,25.22
4800.0,24.66,24.66
4900.0,25.33,25.33
5000.0,26.64,26.64
5100.0,30.77,30.77
5200.0,33.13,33.13
5300.0,33.12,33.12
5400.0,32.28,32.28
5500.0,32.80,32.80
5600.0,35.37,35.37
5700.0,40.70,40.70
5800.0,43.90,43.90
5900.0,56.02,56.02
6000.0,45.60,45.60
6100.0,41.43,41.43
