Elevation,Area
100,431.03
200,614.35
300,442.63
400,427.82
500,470.96
600,528.06
700,573.78
800,621.01
900,529.56
1000,420.30
1100,372.86
1200,329.50
1300,312.33
1400,293.87
1500,286.35
1600,253.08
1700,238.06
1800,205.43
1900,182.67
2000,186.54
2100,179.24
2200,189.11
2300,174.73
2400,174.30
2500,173.87
2600,173.44
2700,167.00
2800,165.29
2900,176.66
3000,181.39
3100,175.59
3200,222.60
3300,221.53
3400,244.71
3500,255.44
3600,216.38
3700,196.41
3800,164.64
3900,103.25
4000,81.36
4100,46.15
4200,35.85
4300,17.39
4400,13.95
4500,9.23
4600,4.94
4700,3.22
4800,2.36
4900,2.79
5000,1.07
5100,1.29
5200,1.07
5300,0.43
5400,0.21
