Elevation,Area
100,42.07
200,61.61
300,141.03
400,171.73
500,215.09
600,218.95
700,221.74
800,200.06
900,200.28
1000,218.74
1100,211.23
1200,170.01
1300,131.59
1400,128.15
1500,114.63
1600,120.64
1700,131.37
1800,132.87
1900,137.17
2000,139.31
2100,144.68
2200,160.14
2300,164.64
2400,165.93
2500,172.16
2600,174.95
2700,180.10
2800,188.69
2900,185.89
3000,199.85
3100,199.63
3200,218.09
3300,227.75
3400,246.64
3500,270.90
3600,268.32
3700,307.18
3800,329.72
3900,361.91
4000,375.01
4100,372.00
4200,341.31
4300,280.56
4400,244.71
4500,189.54
4600,151.76
4700,123.64
4800,98.53
4900,75.13
5000,64.40
5100,51.52
5200,38.21
5300,25.33
5400,13.95
5500,6.87
5600,3.01
5700,2.15
5800,1.72
5900,0.86
6000,0.43
6100,0.43
