Elevation,SCA,CCA
0.0,1.58,1.58
100.0,4.33,4.33
200.0,6.49,6.49
300.0,12.45,12.45
400.0,15.97,15.97
500.0,21.01,21.01
600.0,25.51,25.51
700.0,54.50,54.50
800.0,66.45,66.45
900.0,73.95,73.95
1000.0,82.63,82.63
1100.0,87.30,87.30
1200.0,89.71,89.71
1300.0,86.59,86.59
1400.0,83.21,83.21
1500.0,88.81,88.81
1600.0,85.29,85.29
1700.0,82.27,82.27
1800.0,82.21,82.21
1900.0,86.62,86.62
2000.0,89.93,89.93
2100.0,86.33,86.33
2200.0,85.28,85.28
2300.0,86.70,86.70
2400.0,89.49,89.49
2500.0,84.45,84.45
2600.0,85.74,85.74
2700.0,88.63,88.63
2800.0,93.70,93.70
2900.0,97.06,97.06
3000.0,97.77,97.77
3100.0,97.96,97.96
3200.0,98.56,98.56
3300.0,98.85,98.85
3400.0,98.89,98.89
