Elevation,SCA,CCA
0.0,0.02,0.02
100.0,0.01,0.01
200.0,0.01,0.01
300.0,0.02,0.02
400.0,0.02,0.02
500.0,0.02,0.02
600.0,0.02,0.02
700.0,0.03,0.03
800.0,0.05,0.05
900.0,0.06,0.06
1000.0,0.08,0.08
1100.0,0.14,0.14
1200.0,0.22,0.22
1300.0,0.42,0.42
1400.0,0.80,0.80
1500.0,1.20,1.20
1600.0,2.10,2.10
1700.0,2.76,2.76
1800.0,3.67,3.67
1900.0,5.07,5.07
2000.0,6.95,6.95
2100.0,9.54,9.54
2200.0,11.95,11.95
2300.0,14.78,14.78
2400.0,17.55,17.55
2500.0,20.26,20.26
2600.0,23.41,23.41
2700.0,26.45,26.45
2800.0,29.83,29.83
2900.0,32.59,32.59
3000.0,35.67,35.67
3100.0,39.01,39.01
3200.0,41.69,41.69
3300.0,44.29,44.29
3400.0,46.65,46.65
3500.0,49.02,49.02
3600.0,50.99,50.99
3700.0,53.35,53.35
3800.0,55.42,55.42
3900.0,58.14,58.14
4000.0,61.08,61.08
4100.0,63.42,63.42
4200.0,65.28,65.28
4300.0,67.21,67.21
4400.0,71.31,71.31
4500.0,75.80,75.80
4600.0,79.81,79.81
4700.0,81.90,81.90
4800.0,84.74,84.74
4900.0,86.76,86.76
5000.0,89.77,89.77
5100.0,94.13,94.13
5200.0,94.59,94.59
5300.0,95.95,95.95
5400.0,96.79,96.79
5500.0,98.28,98.28
5600.0,99.07,99.07
5700.0,98.91,98.91
5800.0,98.52,98.52
