Elevation,Area
100,127.94
200,331.22
300,264.46
400,230.54
500,261.24
600,239.99
700,273.48
800,376.08
900,303.10
1000,236.13
1100,201.99
1200,202.21
1300,203.28
1400,180.96
1500,160.78
1600,142.75
1700,129.01
1800,129.22
1900,124.72
2000,119.99
2100,118.49
2200,107.54
2300,107.11
2400,104.11
2500,111.62
2600,107.54
2700,111.84
2800,112.70
2900,119.78
3000,127.29
3100,144.04
3200,149.83
3300,164.21
3400,179.88
3500,184.18
3600,198.77
3700,191.90
3800,172.37
3900,151.12
4000,106.26
4100,82.86
4200,63.32
4300,45.29
4400,36.71
4500,22.97
4600,15.46
4700,9.87
4800,6.23
4900,3.65
5000,3.43
5100,2.36
5200,1.29
5300,1.93
5400,1.29
5500,1.50
5600,0.86
5700,0.21
5800,0.43
5900,0.21
