Elevation,SCA,CCA
0,5.3408237716595774,5.3408237716595774
100,14.497358720692418,14.497358720692418
200,20.18432169315524,20.18432169315524
300,25.439570587946605,25.439570587946605
400,31.03111178182511,31.03111178182511
500,37.11969597342712,37.11969597342712
600,42.48634783298949,42.48634783298949
700,47.723235753407465,47.723235753407465
800,50.38052168145523,50.38052168145523
900,55.158862738644046,55.158862738644046
1000,57.670559193826335,57.670559193826335
1100,57.23901327020581,57.23901327020581
1200,63.427235518162846,63.427235518162846
