Elevation,SCA,CCA
0.0,0.21,0.21
100.0,0.20,0.20
200.0,0.25,0.25
300.0,0.29,0.29
400.0,0.36,0.36
500.0,0.54,0.54
600.0,0.84,0.84
700.0,1.43,1.43
800.0,1.89,1.89
900.0,3.75,3.75
1000.0,5.87,5.87
1100.0,9.72,9.72
1200.0,13.51,13.51
1300.0,18.09,18.09
1400.0,23.35,23.35
1500.0,27.86,27.86
1600.0,32.18,32.18
1700.0,36.16,36.16
1800.0,39.82,39.82
1900.0,43.16,43.16
2000.0,46.27,46.27
2100.0,49.45,49.45
2200.0,53.35,53.35
2300.0,58.07,58.07
2400.0,66.26,66.26
2500.0,72.04,72.04
2600.0,75.74,75.74
2700.0,79.26,79.26
2800.0,82.32,82.32
2900.0,86.91,86.91
3000.0,93.37,93.37
3100.0,94.40,94.40
3200.0,93.50,93.50
3300.0,94.43,94.43
3400.0,93.92,93.92
3500.0,93.17,93.17
